ID,Product_Name,Quantity,Revenue,ABC_Category,XYZ_Category,ABC_XYZ_Matrix
1,"Брауни С.Пудовъ, картон ритейл , 0,35 кг (НОВЫЙ ДИЗАЙН) (гофр",7007854.0,0,A,Z,AZ
2,"Мор. соль пом. №1 (средняя) ,"" Mareman"", пленка, 1 кг",2589570.0,0,A,Z,AZ
3,"Мука блинная классическая ""С.  Пудовъ"", Россия, 1000 гр",2477936.0,0,A,Z,AZ
4,"Вафли С.Пудовъ, пленка, 0,35 к кг",1393100.0,0,A,Z,AZ
5,"ШОКОЛАД МОЛОЧНЫЙ ТЕРМОСТАБИЛЬН С.ПУДОВЪ, ПЛЕНКА, 0,05 КГ (ГОФ",894572.0,0,A,Z,AZ
6,"Мор. соль крупная т.м. ""Лента"" , картон ритеил, 1 кг (гофро 1",702730.0,0,A,Z,AZ
7,"ЦЕДРА АПЕЛЬСИНА, С.ПУДОВЪ, ПЛЕ 0,01 КГ",693840.0,0,A,Z,AZ
8,"Солод ржаной ферментированный  0,3 кг",599650.0,0,A,Z,AZ
9,"МУКА РИСОВАЯ С.ПУДОВ, БУМ/ПАК, КГ (Т/У ПЛЕНКА 6 ШТ.)",526626.0,0,A,Z,AZ
10,"Мука пшеничная хлебопекарная в в/с ""С. Пудовъ"", Россия, 1000",515324.0,0,A,Z,AZ
11,"КЕКС МАЛИНОВЫЙ С.ПУДОВЪ, ПЛЕНК 0,300 КГ",471680.0,0,A,Z,AZ
12,"Готовая м/с ""Кекс апельсиновый й "" С.Пудовъ , Россия, 300 г",413360.0,0,A,Z,AZ
13,Мука кондитерская самоподнимаю ющаяся пшеничн. хлеб-п в/с 2 к,372750.0,0,A,Z,AZ
14,"Вафли бельгийские ""Золотое Утр ро"", картон ритеил, 0,4 кг",301250.0,0,A,Z,AZ
15,"МУКА ПШЕНИЧНАЯ ЦЕЛЬНОЗЕРНОВАЯ ""СЕЛЯНОЧКА"", БУМ/ПАК, 1 КГ (ДЛ",298560.0,0,A,Z,AZ
16,"Крахмал кукурузный С.Пудовъ, п пленка, 0,2 кг",297790.0,0,A,Z,AZ
17,"ЦЕДРА ЛИМОНА, С.ПУДОВЪ, ПЛЕНКА 0,01 КГ",287920.0,0,A,Z,AZ
18,"Мука рис. т.м.\\""Вкус и Польза\\ ""бум/пак0,5 кг(дляХ5)(т/упленк",281106.0,0,A,Z,AZ
19,"МУЧНАЯ СМЕСЬ ""ОЛАДЬИ"" Т.М. ""С.ПУДОВЪ"", БУМ/ПАК, 0,5 КГ (Т",270828.0,0,A,Z,AZ
20,"Разрыхлитель теста С.Пудовъ, л /бумага, 0,01 кг (гофра 15 шт.",266985.0,0,A,Z,AZ
21,Мука кондит. самоподнимающаяся я пшен. хлебопек. в/с 1000 г,256576.0,0,A,Z,AZ
22,"Агар-агар, С.Пудовъ, пленка, Р Россия, 0,007 кг",235000.0,0,A,Z,AZ
23,"Торт Красный бархат С.Пудовъ,  Россия, фасовка 400 г, 1/400",233056.0,0,A,Z,AZ
24,"Мука кукурузная  ""С. Пудовъ"",",232146.0,0,A,Z,AZ
25,"ДРОЖЖИ БЫСТРОДЕЙСТВУЮЩИЕ ХЛЕБОПЕКАРНЫЕ СУХИЕ С.ПУДОВЪ,",226160.0,0,A,Z,AZ
26,"Кокосовая стружка т.м.""Лента"",  пленка, 0,080 кг (гофро 20 шт",220340.0,0,A,Z,AZ
