Артикул,Наименование,Количество_шт,Доля_%,Кумулятивная_доля_%,ABC_Категория
PFSP29781U6,"Брауни С.Пудовъ, картон ритейл , 0,35 кг (НОВЫЙ ДИЗАЙН) (гофр",7007854,23.37,23.37,A
PFMM29141,"Мор. соль пом. №1 (средняя) ,"" Mareman"", пленка, 1 кг",2589570,8.63,32.0,A
PFSP29115,"Мука блинная классическая ""С.  Пудовъ"", Россия, 1000 гр",2477936,8.26,40.26,A
PFSP29797,"Вафли С.Пудовъ, пленка, 0,35 к кг",1393100,4.65,44.91,A
PFSP75337,"ШОКОЛАД МОЛОЧНЫЙ ТЕРМОСТАБИЛЬН С.ПУДОВЪ, ПЛЕНКА, 0,05 КГ (ГОФ",894572,2.98,47.89,A
SFLT09383,"Мор. соль крупная т.м. ""Лента"" , картон ритеил, 1 кг (гофро 1",702730,2.34,50.23,A
PFSP75080,"ЦЕДРА АПЕЛЬСИНА, С.ПУДОВЪ, ПЛЕ 0,01 КГ",693840,2.31,52.55,A
PFSP29316,"Солод ржаной ферментированный  0,3 кг",599650,2.0,54.55,A
PFSP29469U6,"МУКА РИСОВАЯ С.ПУДОВ, БУМ/ПАК, КГ (Т/У ПЛЕНКА 6 ШТ.)",526626,1.76,56.3,A
PFSP29002,"Мука пшеничная хлебопекарная в в/с ""С. Пудовъ"", Россия, 1000",515324,1.72,58.02,A
PFSP75207,"КЕКС МАЛИНОВЫЙ С.ПУДОВЪ, ПЛЕНК 0,300 КГ",471680,1.57,59.59,A
PFSP29946,"Готовая м/с ""Кекс апельсиновый й "" С.Пудовъ , Россия, 300 г",413360,1.38,60.97,A
PFSP29144,Мука кондитерская самоподнимаю ющаяся пшеничн. хлеб-п в/с 2 к,372750,1.24,62.22,A
PFZU29290,"Вафли бельгийские ""Золотое Утр ро"", картон ритеил, 0,4 кг",301250,1.0,63.22,A
SFSE08082,"МУКА ПШЕНИЧНАЯ ЦЕЛЬНОЗЕРНОВАЯ ""СЕЛЯНОЧКА"", БУМ/ПАК, 1 КГ (ДЛ",298560,1.0,64.22,A
PFSP29739,"Крахмал кукурузный С.Пудовъ, п пленка, 0,2 кг",297790,0.99,65.21,A
PFSP75079,"ЦЕДРА ЛИМОНА, С.ПУДОВЪ, ПЛЕНКА 0,01 КГ",287920,0.96,66.17,A
SFVP75511,"Мука рис. т.м.\\""Вкус и Польза\\ ""бум/пак0,5 кг(дляХ5)(т/упленк",281106,0.94,67.11,A
PFSP29310U6,"МУЧНАЯ СМЕСЬ ""ОЛАДЬИ"" Т.М. ""С.ПУДОВЪ"", БУМ/ПАК, 0,5 КГ (Т",270828,0.9,68.01,A
PFSP29877,"Разрыхлитель теста С.Пудовъ, л /бумага, 0,01 кг (гофра 15 шт.",266985,0.89,68.9,A
PFSP29114,Мука кондит. самоподнимающаяся я пшен. хлебопек. в/с 1000 г,256576,0.86,69.75,A
PFSP29714U20,"Агар-агар, С.Пудовъ, пленка, Р Россия, 0,007 кг",235000,0.78,70.54,A
PFSP29788,"Торт Красный бархат С.Пудовъ,  Россия, фасовка 400 г, 1/400",233056,0.78,71.32,A
PFSP29468U6,"Мука кукурузная  ""С. Пудовъ"",",232146,0.77,72.09,A
PFSP29687U40,"ДРОЖЖИ БЫСТРОДЕЙСТВУЮЩИЕ ХЛЕБОПЕКАРНЫЕ СУХИЕ С.ПУДОВЪ,",226160,0.75,72.84,A
SFLT39845,"Кокосовая стружка т.м.""Лента"",  пленка, 0,080 кг (гофро 20 шт",220340,0.73,73.58,A
PFSP29712U40,"ВАНИЛЬНЫЙ САХАР С.ПУДОВЪ (С НА ВАНИЛЬЮ), ПЛЕНКА, 0,015 КГ (ГО",212120,0.71,74.29,A
PFSP29887U20,"ЖЕЛАТИН ПИЩЕВОЙ БЫСТРОРАСТВОРИ С.ПУДОВЪ, Л/БУМАГА, 0,01 КГ (Г",203800,0.68,74.96,A
SFSA74241,"ЛИМОННАЯ КИСЛОТА Т.М. ""САМОКАТ Л/БУМАГА, 0,05 КГ (ГОФРО 20 ШТ",199300,0.66,75.63,A
PFSP26347PT,"МИНДАЛЬНЫЕ ЛЕПЕСТКИ, С.ПУДОВЪ, ПЛЕНКА, 0,02 КГ ПОЛУФАБРИКАТ",193536,0.65,76.27,A
SFVP75512,"Мука кукурузная т.м. ""Вкус и П ольза"", бум/пак, 0,5 кг (для Х",189906,0.63,76.91,A
PFSP29877U40,"РАЗРЫХЛИТЕЛЬ ТЕСТА С.ПУДОВЪ, Л/БУМАГА, 0,01 КГ (ГОФРО 40 ШТ",177240,0.59,77.5,A
PFSP75306,"МУКА УНИВЕРСАЛЬНАЯ БЕЗ ГЛЮТЕНА С.ПУДОВ, БУМ/ПАК, 0,5 КГ (Т/У",166662,0.56,78.05,A
SFSE10284,"Кекс ванильный т.м. \\""Рестория \\"", пленка, 0,3 кг (гофро 8)",164632,0.55,78.6,A
